# Ellingwood's American Materia Medica, Therapeutics and Pharmacognosy (1919)
# Format: COMMON_NAME    Latin binomial ... printed_page
# Printed page = PDF page - 1 (offset=1)
#
GUARANA    Paullinia sorbilis ... 326
PENTHORUM    Penthorum sedoides ... 326
PEONY    Peonia officinalis ... 327
BOLDUS    Peumus boldus ... 328
PHYSOSTIGMA    Physostigma venenosum ... 329
PHYTOLACCA    Phytolacca americana ... 333
PILOCARPUS    Pilocarpus jaborandi ... 337
CUBEBA    Piper cubeba ... 345
PLANTAGO    Plantago major ... 353
PODOPHYLLUM    Podophyllum peltatum ... 354
SENEGA    Polygala senega ... 357
POLYGONUM    Polygonum punctatum ... 358
POLYMNIA    Polymnia uvedalia ... 359
POLYTRICHUM    Polytrichum juniperum ... 361
POPULUS    Populus tremuloides ... 362
PRUNUS    Prunus serotina ... 364
PTELEA    Ptelea trifoliata ... 365
KINO    Pterocarpus marsupium ... 365
GRANATUM    Punica granatum ... 366
QUASSIA    Quassia amara ... 367
QUERCUS    Quercus alba ... 368
RHUS    Rhus toxicodendron ... 377
RICINUS    Ricinus communis ... 381
RUBUS    Rubus villosus ... 382
RUMEX    Rumex crispus ... 382
NIGRA    Salix nigra aments ... 385
SAMBUCUS    Sambucus canadensis ... 385
SANGUINARIA    Sanguinaria canadensis ... 386
SANDALWOOD    Santalum album ... 388
SAPIUM    Sapium salicifolium ... 388
SAXIFRAGE    Saxifraga pennsylvanica ... 390
SCROPHULARIA    Scrophularia nodosa ... 391
SCUTELLARIA    Scutellaria lateriflora ... 392
SENECIO    Senecio aureus ... 398
CARDUUS    Silybum marianum ... 402
SINAPIS    Sinapis nigra, Sinapis alba ... 403
SARSAPARILLA    Smilax officinalis ... 406
SOLANUM    Solanum carolinensis ... 407
DULCAMARA    Solanum dulcamara ... 408
SOLIDAGO    Solidago odora ... 411
SPIGELIA    Spigelia marilandica ... 412
STILLINGIA    Stillingia sylvatica ... 415
STROPHANTHUS    Strophanthus hispidus ... 416
THAPSIA    Thapsia garganica ... 431
THUJA    Thuja occidentalis ... 432
TRIFOLIUM    Trifolium pratense ... 438
DAMIANA    Turnera aphrodisiaca ... 440
URTICA    Urtica dioica ... 446
USTILAGO    Ustilago maidis ... 447
VALERIAN    Valeriana officinalis ... 448
VERATRUM    Veratrum viride ... 450
VERBASCUM    Verbascum thapsus ... 456
LEPTANDRA    Leptandra virginica ... 458
VIBURNUM    Viburnum opulus ... 459
MISTLETOE    Viscum album ... 463
XANTHIUM    Xanthium spinosum ... 465
ZANTHOXYLUM    Zanthoxylum americanum ... 466
ZINGIBER    Zingiber officinale ... 467
